rep,macro_f1,accuracy
1,0.047875985798648955,0.04783599088838269
2,0.04432199068530264,0.04419134396355353
3,0.04658367032619874,0.0469248291571754
4,0.049634571330766625,0.04965831435079727
5,0.04935119296096538,0.04965831435079727
