mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_prep__do_normalize,param_prep__lowercase,param_vec__max_features,param_vec__min_df,param_vec__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
34.314610163370766,1.052287710358738,8.298657735188803,0.2919182153177094,0.5,True,,120000,2,"(2, 5)","{'clf__alpha': 0.5, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 120000, 'vec__min_df': 2, 'vec__ngram_range': (2, 5)}",0.9775956712426086,0.9797543540148905,0.9817644735740862,0.9797048329438618,0.001702266620732535,4
50.655142863591514,0.3073731741844723,7.8473325570424395,0.06847670457105816,0.5,True,,120000,2,"(3, 6)","{'clf__alpha': 0.5, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 120000, 'vec__min_df': 2, 'vec__ngram_range': (3, 6)}",0.9613494541458162,0.9640115213757469,0.9668225485479975,0.9640611746898534,0.002234657270142121,15
34.28589653968811,0.22625738346420685,8.128175099690756,0.3706736052143312,0.5,True,,120000,5,"(2, 5)","{'clf__alpha': 0.5, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 120000, 'vec__min_df': 5, 'vec__ngram_range': (2, 5)}",0.9775956712426086,0.9797543540148905,0.9817657472930051,0.9797052575168347,0.0017027803569679234,3
50.461087703704834,0.37059746016517786,7.765221516291301,0.07193922335627718,0.5,True,,120000,5,"(3, 6)","{'clf__alpha': 0.5, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 120000, 'vec__min_df': 5, 'vec__ngram_range': (3, 6)}",0.9607837437707453,0.9642077250692278,0.9666053178196773,0.9638655955532167,0.00238892870775363,16
34.593908389409386,0.2568722467156793,8.294414122899374,0.49800332687596455,0.5,True,,150000,2,"(2, 5)","{'clf__alpha': 0.5, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 150000, 'vec__min_df': 2, 'vec__ngram_range': (2, 5)}",0.9778175871292162,0.9797523750840749,0.9819177879580541,0.9798292500571151,0.0016747823799548138,2
50.782659928003945,0.2284070510253025,8.210281133651733,0.06996742632637214,0.5,True,,150000,2,"(3, 6)","{'clf__alpha': 0.5, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 150000, 'vec__min_df': 2, 'vec__ngram_range': (3, 6)}",0.964193628920682,0.9653636408107409,0.9679245046856081,0.9658272581390103,0.001558003907490155,14
34.57082907358805,0.09210844036201286,8.106276194254557,0.19392329594720434,0.5,True,,150000,5,"(2, 5)","{'clf__alpha': 0.5, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 150000, 'vec__min_df': 5, 'vec__ngram_range': (2, 5)}",0.9779649113688464,0.9797723027345462,0.9820722376348411,0.9799364839127446,0.0016808229845898547,1
50.942219495773315,0.09838884578855256,8.176970799763998,0.030646308560116246,0.5,True,,150000,5,"(3, 6)","{'clf__alpha': 0.5, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 150000, 'vec__min_df': 5, 'vec__ngram_range': (3, 6)}",0.963632146990929,0.9663150055466403,0.9680643101174206,0.9660038208849966,0.0018227533047909515,13
33.453871965408325,0.44547421651994745,7.874665896097819,0.2771660753398736,1.0,True,,120000,2,"(2, 5)","{'clf__alpha': 1.0, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 120000, 'vec__min_df': 2, 'vec__ngram_range': (2, 5)}",0.9756984319657392,0.978520153772553,0.9806363607181061,0.9782849821521328,0.0020227480250311547,7
48.34254391988119,0.2476349546936271,8.16385038693746,0.13010414501605688,1.0,True,,120000,2,"(3, 6)","{'clf__alpha': 1.0, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 120000, 'vec__min_df': 2, 'vec__ngram_range': (3, 6)}",0.9587665009217293,0.9618559806639126,0.9644016746554577,0.9616747187470333,0.002304117714615666,19
33.61926865577698,0.3906792917846161,7.703490098317464,0.33328251942049547,1.0,True,,120000,5,"(2, 5)","{'clf__alpha': 1.0, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 120000, 'vec__min_df': 5, 'vec__ngram_range': (2, 5)}",0.9755201136512426,0.978520153772553,0.9806363607181061,0.9782255427139672,0.002099062134887577,8
49.47843917210897,0.5561764159139099,8.1922980149587,0.08083575642607113,1.0,True,,120000,5,"(3, 6)","{'clf__alpha': 1.0, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 120000, 'vec__min_df': 5, 'vec__ngram_range': (3, 6)}",0.9585829122930968,0.9618711946603223,0.9641930411503989,0.9615490493679394,0.0023016254605440645,20
34.26688369115194,0.14997948010522577,8.191474040349325,0.028282275239347666,1.0,True,,150000,2,"(2, 5)","{'clf__alpha': 1.0, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 150000, 'vec__min_df': 2, 'vec__ngram_range': (2, 5)}",0.9758751605707343,0.9785412525747236,0.9809792197823609,0.9784652109759396,0.0020844170811854974,5
49.56730834643046,0.15017105437372616,8.09310785929362,0.20867624556149442,1.0,True,,150000,2,"(3, 6)","{'clf__alpha': 1.0, 'prep__do_normalize': True, 'prep__lowercase': None, 'vec__max_features': 150000, 'vec__min_df': 2, 'vec__ngram_range': (3, 6)}",0.9619787421220248,0.9627442738859895,0.9651311395599008,0.9632847185226384,0.0013425008269503812,18
