train_size,train_mean,train_std,val_mean,val_std
1319,1.0,0.0,0.982937910571709,0.0007939417645192613
3695,1.0,0.0,0.985158200849242,0.0008122993383005299
6071,1.0,0.0,0.9860203672411214,0.0004596042838325055
8446,1.0,0.0,0.9867303410846465,0.0005089452512529199
10822,1.0,0.0,0.9871895707935812,0.0006042745048985733
13198,1.0,0.0,0.9878292808528558,0.0006346706690293182
